fecha,producto,unidades,precio
2026-06-01,Ratón inalámbrico,1,29.99
2026-06-01,Micrófono USB,1,79.99
2026-06-01,Teclado mecánico RGB,2,89.99
2026-06-01,Soporte monitor,2,44.99
2026-06-01,Cable HDMI 2.1,1,14.99
2026-06-01,SSD 2TB,1,179.99
2026-06-01,Ratón Gaming RGB,1,39.95
2026-06-01,Dock USB-C,1,89.99
2026-06-01,Cable HDMI 2.1,1,14.99
2026-06-01,Soporte portátil,2,29.99
2026-06-01,SSD 2TB,1,179.99
2026-06-01,Cable DisplayPort,1,16.99
2026-06-01,Tarjeta SD 128GB,1,29.99
2026-06-02,Teclado compacto,1,49.99
2026-06-02,Auriculares Bluetooth,1,89.99
2026-06-02,Webcam Full HD,3,59.99
2026-06-02,Auriculares Bluetooth,1,89.99
2026-06-02,SSD 1TB,1,99.99
2026-06-02,Tarjeta SD 128GB,1,29.99
2026-06-02,Micrófono USB,2,79.99
2026-06-02,Lámpara LED,1,39.99
2026-06-02,Ratón inalámbrico,3,29.99
2026-06-02,SSD 1TB,1,99.99
2026-06-02,Auriculares Gaming,2,69.99
2026-06-02,Alfombrilla XL,2,24.99
2026-06-02,SSD 500GB,1,59.99
2026-06-02,Silla Gaming,1,249.99
2026-06-03,Webcam 4K,2,119.99
2026-06-03,Ratón Gaming RGB,2,39.95
2026-06-03,Tarjeta SD 128GB,1,29.99
2026-06-03,Micrófono USB,1,79.99
2026-06-03,Adaptador USB-C,1,17.99
2026-06-03,SSD 500GB,1,59.99
2026-06-03,Soporte monitor,1,44.99
2026-06-03,Router WiFi 6,1,139.99
2026-06-03,Ratón Gaming RGB,1,39.95
2026-06-03,Teclado compacto,1,49.99
2026-06-03,Webcam 4K,1,119.99
2026-06-03,SSD 1TB,1,99.99
2026-06-03,Router WiFi 6,1,139.99
2026-06-04,Webcam 4K,1,119.99
2026-06-04,Adaptador USB-C,2,17.99
2026-06-04,Monitor 24 IPS,1,169.99
2026-06-04,Monitor 24 IPS,2,169.99
2026-06-04,SSD 1TB,1,99.99
2026-06-04,Webcam Full HD,3,59.99
2026-06-04,Cable DisplayPort,2,16.99
2026-06-04,Auriculares Bluetooth,1,89.99
2026-06-04,Hub USB-C,1,34.99
2026-06-04,Router WiFi 6,1,139.99
2026-06-04,Teclado mecánico RGB,1,89.99
2026-06-04,Webcam 4K,2,119.99
2026-06-05,Lámpara LED,1,39.99
2026-06-05,Brazo monitor,1,69.99
2026-06-05,SSD 500GB,1,59.99
2026-06-05,Teclado mecánico RGB,1,89.99
2026-06-05,Ratón Gaming RGB,2,39.95
2026-06-05,Tarjeta SD 128GB,1,29.99
2026-06-05,Soporte portátil,1,29.99
2026-06-05,Soporte monitor,1,44.99
2026-06-05,Ratón Gaming RGB,1,39.95
2026-06-05,Alfombrilla XL,4,24.99
2026-06-05,Dock USB-C,1,89.99
2026-06-05,Cable HDMI 2.1,2,14.99
2026-06-05,Monitor 27 IPS,1,229.99
2026-06-05,Ratón inalámbrico,1,29.99
2026-06-05,Cable HDMI 2.1,2,14.99
2026-06-05,Memoria USB 128GB,1,19.99
2026-06-05,Ratón inalámbrico,1,29.99
2026-06-06,Monitor 27 IPS,3,229.99
2026-06-06,Brazo monitor,2,69.99
2026-06-06,Dock USB-C,2,89.99
2026-06-06,Dock USB-C,3,89.99
2026-06-06,Tarjeta SD 128GB,1,29.99
2026-06-06,Adaptador USB-C,1,17.99
2026-06-06,Alfombrilla XL,1,24.99
2026-06-06,SSD 500GB,2,59.99
2026-06-06,Cable HDMI 2.1,3,14.99
2026-06-06,Router WiFi 6,1,139.99
2026-06-06,Monitor 27 IPS,1,229.99
2026-06-06,Hub USB-C,1,34.99
2026-06-06,Router WiFi 6,1,139.99
2026-06-06,Adaptador USB-C,2,17.99
2026-06-06,Webcam 4K,1,119.99
2026-06-07,Ratón Gaming RGB,2,39.95
2026-06-07,Adaptador USB-C,1,17.99
2026-06-07,Memoria USB 128GB,1,19.99
2026-06-07,Teclado mecánico RGB,1,89.99
2026-06-07,Hub USB-C,3,34.99
